param n:=674;
param p:=314;


param:  E : c  :=

   1    315       1
      2    500       1
      2    501       1
      3    316       1
      3    317       1
      4    318       1
      5    319       1
      5    584       1
      6    320       1
      7    321       1
      7    322       1
      8    323       1
      8    324       1
      8    325       1
      9    326       1
      9    327       1
     10    328       1
     10    329       1
     10    330       1
     11    331       1
     12    332       1
     13    333       1
     14    334       1
     14    335       1
     14    336       1
     14    337       1
     14    338       1
     14    339       1
     14    340       1
     14    341       1
     14    342       1
     14    343       1
     14    344       1
     14    345       1
     15    346       1
     16    347       1
     17    348       1
     18    349       1
     19    350       1
     20    351       1
     21    352       1
     21    353       1
     22    354       1
     23    323       1
     23    355       1
     23    356       1
     24    357       1
     25    358       1
     26    359       1
     27    360       1
     27    361       1
     27    362       1
     28    363       1
     28    364       1
     29    365       1
     30    366       1
     31    367       1
     32    368       1
     33    369       1
     33    370       1
     34    371       1
     35    372       1
     36    373       1
     37    352       1
     38    374       1
     38    375       1
     39    376       1
     40    336       1
     40    377       1
     40    378       1
     40    379       1
     40    380       1
     41    381       1
     42    382       1
     42    383       1
     43    371       1
     44    384       1
     45    318       1
     46    385       1
     47    386       1
     48    387       1
     49    440       1
     50    337       1
     51    388       1
     52    654       1
     53    389       1
     54    390       1
     55    415       1
     56    391       1
     57    392       1
     57    393       1
     57    394       1
     57    395       1
     58    396       1
     59    397       1
     60    398       1
     61    399       1
     61    400       1
     62    367       1
     63    401       1
     64    338       1
     64    402       1
     65    403       1
     66    404       1
     67    405       1
     68    406       1
     68    407       1
     69    408       1
     69    409       1
     69    410       1
     69    411       1
     70    412       1
     71    413       1
     72    414       1
     72    415       1
     73    416       1
     74    417       1
     75    328       1
     76    418       1
     77    419       1
     78    420       1
     79    421       1
     80    422       1
     81    423       1
     81    424       1
     82    324       1
     83    356       1
     84    347       1
     85    425       1
     85    426       1
     86    427       1
     87    382       1
     87    383       1
     87    428       1
     87    429       1
     87    430       1
     87    431       1
     87    432       1
     87    433       1
     88    434       1
     88    435       1
     88    436       1
     89    437       1
     90    430       1
     91    438       1
     92    439       1
     93    440       1
     93    441       1
     93    442       1
     93    443       1
     93    511       1
     93    512       1
     94    444       1
     94    445       1
     95    446       1
     96    408       1
     97    447       1
     98    329       1
     98    330       1
     98    448       1
     98    449       1
     98    450       1
     99    451       1
    100    452       1
    100    453       1
    101    454       1
    102    455       1
    103    456       1
    104    457       1
    104    458       1
    105    384       1
    106    531       1
    107    459       1
    107    460       1
    107    461       1
    108    568       1
    109    462       1
    110    384       1
    110    391       1
    110    463       1
    111    338       1
    111    451       1
    111    452       1
    111    464       1
    111    465       1
    111    466       1
    111    467       1
    111    468       1
    112    469       1
    113    396       1
    114    409       1
    115    654       1
    116    356       1
    117    470       1
    117    471       1
    118    507       1
    119    316       1
    119    317       1
    120    472       1
    121    396       1
    122    328       1
    123    330       1
    123    394       1
    123    395       1
    123    444       1
    123    449       1
    123    473       1
    123    474       1
    123    475       1
    123    476       1
    123    477       1
    123    478       1
    123    479       1
    123    480       1
    123    481       1
    123    482       1
    123    483       1
    123    484       1
    123    485       1
    123    486       1
    123    487       1
    123    488       1
    123    489       1
    123    490       1
    123    491       1
    123    492       1
    123    493       1
    124    494       1
    125    483       1
    126    412       1
    126    495       1
    126    496       1
    127    497       1
    128    498       1
    129    499       1
    129    500       1
    129    501       1
    129    502       1
    129    503       1
    129    504       1
    129    505       1
    129    506       1
    130    507       1
    131    508       1
    132    435       1
    133    412       1
    133    495       1
    133    496       1
    134    380       1
    134    441       1
    134    442       1
    134    443       1
    134    449       1
    134    484       1
    134    485       1
    134    486       1
    134    487       1
    134    488       1
    134    489       1
    134    502       1
    134    509       1
    134    510       1
    134    511       1
    134    512       1
    134    513       1
    134    514       1
    134    515       1
    134    516       1
    134    517       1
    134    518       1
    135    519       1
    136    520       1
    136    521       1
    137    639       1
    138    522       1
    139    627       1
    140    523       1
    141    526       1
    141    527       1
    141    528       1
    142    525       1
    143    500       1
    143    501       1
    144    524       1
    145    529       1
    146    530       1
    147    391       1
    147    531       1
    148    530       1
    149    365       1
    150    386       1
    151    532       1
    152    533       1
    153    534       1
    154    535       1
    155    401       1
    156    367       1
    156    430       1
    156    437       1
    156    536       1
    156    537       1
    156    538       1
    156    539       1
    156    540       1
    156    541       1
    156    542       1
    157    543       1
    158    348       1
    159    353       1
    159    544       1
    160    415       1
    161    532       1
    161    545       1
    161    584       1
    161    585       1
    161    586       1
    162    446       1
    163    546       1
    164    547       1
    165    351       1
    165    548       1
    166    549       1
    167    550       1
    168    551       1
    169    413       1
    170    543       1
    171    552       1
    172    451       1
    172    553       1
    172    554       1
    172    555       1
    173    513       1
    174    497       1
    175    556       1
    176    442       1
    176    443       1
    176    512       1
    176    557       1
    176    558       1
    176    559       1
    176    560       1
    176    561       1
    176    562       1
    176    592       1
    177    436       1
    178    578       1
    179    550       1
    180    370       1
    181    396       1
    182    339       1
    182    340       1
    182    341       1
    182    342       1
    182    489       1
    182    514       1
    182    515       1
    182    563       1
    182    564       1
    182    565       1
    182    566       1
    183    567       1
    184    568       1
    185    569       1
    185    570       1
    186    541       1
    186    573       1
    186    574       1
    186    575       1
    186    576       1
    187    571       1
    188    388       1
    189    572       1
    190    451       1
    191    577       1
    192    381       1
    193    578       1
    194    366       1
    194    572       1
    194    579       1
