param n:= 2549;
param p:=960;

param:  E : c  :=
1 961 1
1 962 1
2 963 1
2 964 1
2 965 1
2 966 1
2 967 1
3 968 1
4 968 1
4 969 1
5 968 1
5 970 1
6 968 1
6 971 1
6 970 1
7 968 1
7 971 1
7 972 1
7 970 1
8 968 1
8 971 1
8 972 1
8 970 1
9 973 1
9 974 1
9 975 1
9 976 1
10 977 1
10 978 1
10 979 1
11 980 1
12 981 1
12 982 1
12 983 1
13 984 1
13 985 1
13 986 1
14 987 1
15 988 1
15 989 1
15 990 1
16 991 1
16 992 1
16 993 1
17 991 1
17 994 1
18 991 1
18 995 1
18 994 1
19 996 1
19 997 1
19 998 1
19 999 1
19 1000 1
19 1001 1
20 1002 1
21 1003 1
21 1004 1
22 1005 1
22 1006 1
22 1007 1
23 1008 1
23 1009 1
23 1010 1
23 1011 1
24 1012 1
24 1013 1
24 1014 1
24 1015 1
24 994 1
25 1012 1
25 1016 1
25 1017 1
26 1012 1
26 1018 1
26 1019 1
27 1020 1
27 1021 1
27 1022 1
28 1023 1
29 1023 1
29 1024 1
29 1025 1
29 1026 1
30 1027 1
30 1028 1
30 1029 1
31 1030 1
31 1031 1
31 1032 1
31 1033 1
32 1034 1
32 1035 1
32 1036 1
32 1037 1
33 1038 1
33 1039 1
33 1040 1
33 1041 1
34 1042 1
34 1043 1
34 1044 1
35 1045 1
35 1046 1
35 1047 1
36 1048 1
36 1049 1
37 1050 1
38 1051 1
38 1016 1
39 1052 1
39 1053 1
39 1054 1
40 1055 1
40 1056 1
40 1057 1
40 1058 1
40 1059 1
41 1055 1
41 1060 1
41 1057 1
41 1061 1
41 1058 1
42 1055 1
42 1057 1
42 1058 1
43 1062 1
44 1063 1
44 1064 1
44 1065 1
45 1066 1
45 1067 1
45 1068 1
46 1069 1
46 1070 1
47 1071 1
48 1072 1
48 1073 1
49 1074 1
49 1075 1
50 1076 1
51 1077 1
51 1078 1
52 1079 1
52 1080 1
53 1081 1
53 1082 1
54 1083 1
54 1084 1
54 1085 1
55 1086 1
56 1087 1
56 1088 1
56 1089 1
57 1090 1
57 1091 1
58 994 1
59 994 1
59 991 1
60 994 1
60 991 1
60 995 1
61 994 1
61 991 1
61 995 1
61 1092 1
62 994 1
62 995 1
62 1093 1
62 1094 1
62 1095 1
62 1014 1
63 994 1
63 995 1
63 1093 1
63 1094 1
63 1014 1
63 1095 1
64 994 1
64 1093 1
64 1014 1
65 1096 1
65 1097 1
66 1098 1
66 1099 1
67 1100 1
67 1101 1
67 1102 1
67 1103 1
67 1104 1
67 1105 1
67 1106 1
67 1107 1
67 1108 1
67 1109 1
68 1110 1
69 1110 1
69 1032 1
69 1111 1
69 1112 1
70 1110 1
70 1032 1
70 1112 1
71 1110 1
71 1113 1
72 1114 1
72 1115 1
73 1114 1
73 1115 1
73 1116 1
73 1117 1
74 1032 1
75 1032 1
75 1030 1
76 1032 1
76 1110 1
76 1111 1
76 1112 1
77 1032 1
77 1118 1
77 1119 1
78 1120 1
79 1121 1
79 1122 1
80 1123 1
80 1124 1
81 1125 1
82 1125 1
82 1126 1
83 1127 1
83 1128 1
84 1129 1
85 1130 1
85 1131 1
85 1132 1
86 1133 1
86 1134 1
86 1135 1
87 1133 1
87 1135 1
88 1136 1
88 1137 1
88 1138 1
89 1139 1
90 1140 1
91 1140 1
91 1141 1
91 1142 1
92 1141 1
92 1140 1
92 1142 1
93 1143 1
93 1144 1
94 1145 1
94 1146 1
94 1147 1
95 1145 1
95 1016 1
95 1017 1
96 1148 1
96 1149 1
97 1148 1
97 1149 1
97 1150 1
98 1151 1
99 1152 1
99 1153 1
99 1154 1
99 1007 1
100 1152 1
100 1007 1
100 1155 1
101 1156 1
101 1157 1
101 1158 1
101 1159 1
101 1160 1
102 1161 1
102 1162 1
102 1163 1
103 1092 1
104 1092 1
104 994 1
105 1092 1
105 1164 1
106 1165 1
107 1166 1
107 1167 1
108 1168 1
108 1169 1
108 1170 1
109 1171 1
109 1172 1
109 1173 1
110 1174 1
110 1175 1
110 1176 1
111 1177 1
111 1178 1
111 1009 1
111 1179 1
112 1177 1
112 1180 1
112 1181 1
112 1182 1
